time,"ADC0","ADC1"
"2018-09-25 22:20:56.797999",1332,1342,
"2018-09-25 22:25:56.830184",1332,1342,
"2018-09-25 22:30:56.956586",1332,1342,
"2018-09-25 22:35:56.014548",1332,1342,
"2018-09-25 22:40:56.031826",1332,1342,
"2018-09-25 22:45:56.104819",1332,1342,
"2018-09-25 22:50:56.148025",1332,1342,
"2018-09-25 22:55:56.153877",1332,1342,
"2018-09-25 23:00:56.218517",1331,1342,
"2018-09-25 23:05:56.300588",1331,1342,
"2018-09-25 23:10:56.327403",1331,1342,
"2018-09-25 23:15:56.387640",1331,1342,
"2018-09-25 23:20:56.589037",1331,1342,
"2018-09-25 23:25:56.635905",1331,1342,
"2018-09-25 23:30:56.663950",1331,1342,
"2018-09-25 23:35:56.691815",1331,1342,
"2018-09-25 23:40:56.745765",1331,1342,
"2018-09-25 23:45:56.824374",1331,1342,
"2018-09-25 23:50:56.879053",1331,1342,
"2018-09-25 23:55:56.909475",1331,1342,
"2018-09-26 00:00:56.007000",1331,1342,
"2018-09-26 00:05:56.093347",1331,1342,
"2018-09-26 00:10:56.189436",1331,1342,
"2018-09-26 00:15:56.344140",1331,1342,
"2018-09-26 00:20:56.564757",1331,1342,
"2018-09-26 00:25:56.633135",1331,1342,
"2018-09-26 00:30:56.684147",1331,1342,
"2018-09-26 00:35:56.748133",1331,1342,
"2018-09-26 00:40:56.792725",1331,1342,
"2018-09-26 00:45:56.878218",1331,1342,
"2018-09-26 00:50:56.928985",1331,1342,
"2018-09-26 00:55:55.951793",1331,1342,
"2018-09-26 01:00:56.026181",1331,1342,
"2018-09-26 01:05:56.145406",1331,1342,
"2018-09-26 01:10:56.198145",1331,1342,
"2018-09-26 01:15:56.304640",1331,1342,
"2018-09-26 01:20:56.547994",1331,1342,
"2018-09-26 01:25:56.640102",1331,1342,
"2018-09-26 01:30:56.697797",1331,1342,
"2018-09-26 01:35:56.748677",1331,1342,
"2018-09-26 01:40:56.835791",1331,1342,
"2018-09-26 01:45:56.876288",1331,1342,
"2018-09-26 01:50:56.984291",1331,1342,
"2018-09-26 01:55:56.011672",1331,1342,
"2018-09-26 02:00:56.080359",1331,1342,
"2018-09-26 02:05:56.103965",1331,1342,
"2018-09-26 02:10:56.185409",1331,1342,
"2018-09-26 02:15:56.316440",1331,1342,
"2018-09-26 02:20:56.535498",1331,1342,
"2018-09-26 02:25:56.642312",1331,1342,
"2018-09-26 02:30:56.738066",1331,1342,
"2018-09-26 02:35:56.814310",1331,1342,
"2018-09-26 02:40:56.830085",1331,1342,
"2018-09-26 02:45:56.927474",1331,1342,
"2018-09-26 02:50:56.000513",1331,1342,
"2018-09-26 02:55:56.046165",1331,1342,
"2018-09-26 03:00:56.053180",1331,1342,
"2018-09-26 03:05:56.124036",1331,1342,
"2018-09-26 03:10:56.198891",1331,1342,
"2018-09-26 03:15:56.256528",1331,1342,
"2018-09-26 03:20:56.470345",1331,1342,
"2018-09-26 03:25:56.540296",1331,1342,
"2018-09-26 03:30:56.565261",1331,1342,
"2018-09-26 03:35:56.710508",1331,1342,
"2018-09-26 03:40:56.821267",1331,1342,
"2018-09-26 03:45:56.838481",1331,1342,
"2018-09-26 03:50:56.929093",1331,1342,
"2018-09-26 03:55:55.982185",1331,1342,
"2018-09-26 04:00:56.045705",1331,1342,
"2018-09-26 04:05:56.160766",1331,1342,
"2018-09-26 04:10:56.222800",1331,1342,
"2018-09-26 04:15:56.255704",1331,1342,
"2018-09-26 04:20:56.410159",1331,1342,
"2018-09-26 04:25:56.429549",1331,1342,
"2018-09-26 04:30:56.515827",1331,1342,
"2018-09-26 04:35:56.594375",1331,1342,
"2018-09-26 04:40:56.657957",1331,1342,
"2018-09-26 04:45:56.668919",1331,1342,
"2018-09-26 04:50:56.744352",1331,1342,
"2018-09-26 04:55:56.787726",1331,1343,
"2018-09-26 05:00:56.861644",1331,1342,
"2018-09-26 05:05:56.935445",1331,1342,
"2018-09-26 05:10:56.016375",1331,1343,
"2018-09-26 05:15:56.107975",1331,1342,
"2018-09-26 05:20:56.345286",1331,1342,
"2018-09-26 05:25:56.396437",1331,1342,
